bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000089,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000089/bmse000089.str,no_1H_data_found,0,,,glycine,,,
bmse000090,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000090/bmse000090.str,no_1H_data_found,0,,,guanine,,,
bmse000091,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000091/bmse000091.str,no_1H_data_found,0,,,guanosine,,,
bmse000092,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000092/bmse000092.str,no_1H_data_found,0,,,4-hydroxy-benzoic acid,,,
bmse000093,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000093/bmse000093.str,no_1H_data_found,0,,,trans-3-Hydroxycinnamic acid,,,
bmse000094,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000094/bmse000094.str,no_1H_data_found,0,,,hypoxanthine,,,
bmse000095,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000095/bmse000095.str,no_1H_data_found,0,,,i-erythritol,,,
bmse000096,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000096/bmse000096.str,no_1H_data_found,0,,,imidazole,,,
bmse000097,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000097/bmse000097.str,no_1H_data_found,0,,,indole,,,
bmse000098,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000098/bmse000098.str,no_1H_data_found,0,,,inosine,,,
bmse000099,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000099/bmse000099.str,no_1H_data_found,0,,,D-Mannitol,,,
bmse000100,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000100/bmse000100.str,no_1H_data_found,0,,,meso-erythritol,,,
bmse000101,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000101/bmse000101.str,no_1H_data_found,0,,,3-methyl-2-oxobutinoic acid,,,
bmse000102,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000102/bmse000102.str,no_1H_data_found,0,,,muco-inositol,,,
bmse000103,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000103/bmse000103.str,no_1H_data_found,0,,,myo-inositol,,,
bmse000104,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000104/bmse000104.str,no_1H_data_found,0,,,nicotinic acid,,,
bmse000105,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000105/bmse000105.str,no_1H_data_found,0,,,(+/-) nicotine,,,
bmse000106,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000106/bmse000106.str,no_1H_data_found,0,,,oxalate,,,
bmse000107,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000107/bmse000107.str,no_1H_data_found,0,,,phosphoenolpyruvic acid,,,
bmse000108,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000108/bmse000108.str,no_1H_data_found,0,,,prephenic acid,,,
bmse000109,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000109/bmse000109.str,no_1H_data_found,0,,,"putrescine (1,4 diaminobutane)",,,
bmse000110,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000110/bmse000110.str,no_1H_data_found,0,,,pyridoxal,,,
bmse000111,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000111/bmse000111.str,no_1H_data_found,0,,,pyridoxal-5-phosphate,,,
bmse000112,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000112/bmse000112.str,no_1H_data_found,0,,,Pyruvic acid,,,
bmse000113,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000113/bmse000113.str,no_1H_data_found,0,,,scyllo-Inosoitol,,,
bmse000114,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000114/bmse000114.str,no_1H_data_found,0,,,shikimic acid,,,
bmse000115,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000115/bmse000115.str,no_1H_data_found,0,,,D-sorbitol,,,
