accession,name,kingdom,super_class,class,sub_class,group
HMDB0000500,4-Hydroxybenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Aromatics
HMDB0000501,7-Ketocholesterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids,Lipids
HMDB0000508,Ribitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000509,Senecioic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000511,Capric acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000512,N-Acetyl-L-phenylalanine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000517,L-Arginine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000518,Chenodeoxycholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000528,"4,5-Dihydroorotic acid",Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000529,5Z-Dodecenoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000532,Acetylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000535,Caproic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000536,Adenylsuccinic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives,Aromatics
HMDB0000538,Adenosine triphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides,Heterocycles & nucleotides
HMDB0000543,Benzenebutanoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,,Aromatics
HMDB0000544,5-Hydroxymethyl-4-methyluracil,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0000546,Epietiocholanolone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids
HMDB0000548,TG(10:0/10:0/10:0),Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,Lipids
HMDB0000549,gamma-Butyrolactone,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Heterocycles & nucleotides
HMDB0000554,Dihydroandrosterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Lipids
HMDB0000555,3-Methyladipic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000557,L-Alloisoleucine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000562,Creatinine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000564,PC(16:0/16:0),Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lipids
HMDB0000565,Galactonic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000567,Cinnamic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Aromatics
HMDB0000568,D-Arabitol,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000573,Elaidic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
